"filename", "language", "Python", "JSON", "pip requirements", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\models.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 60
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\serializer.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 80
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\tasks.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\urls.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\views.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 144
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\package-lock.json", "JSON", 0, 5220, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5221
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 135, 0, 0, 0, 3, 38, 176
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 2, 7, 65
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\assets\img\document.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\assets\img\down-arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 8
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\assets\img\side-menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\assets\img\trash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\assets\img\x-mark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\assets\img\yes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\Authorization.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\EmailFieldForResetPassword\EmailFieldForResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 11, 60
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\LoginPanel\LoginPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 10, 61
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\RegisterPanel\RegisterPanel.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\RegisterPanel\RegisterPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 34, 301
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\ResetCodeField\ResetCodeField.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\ResetCodeField\ResetCodeField.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 11, 78
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Authorization\ResetPasswordPanel\ResetPasswordPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 16, 104
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\ChangePanel\ChangePanel.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\ChangePanel\ChangePanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 32, 348
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Common\ImageWithFallback.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 6, 54
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\Common\ImageWithFallback.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\FeedbackEditPage\FeedbackEditPage.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 13, 63
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\FeedbackEditPage\FeedbackEditPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 25, 185
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\frontend\src\components\FeedbackPage\FeedbackPage.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 15, 71
